기준년월,기준년,기준월,시도코드,시도명,상영영화수,영화관람객수,지출금액,인구당영화관람객수,영화관람객수점수,지출금액점수,종합점수,기준상영영화수,기준영화관람객수,기준지출금액
201903,2019,3,29,광주시,81,486863,4090991930.0,333.71238,131.24418,104.07651,117.66035,234.58333,2410351.25,25540506805.66667
201903,2019,3,30,대전시,75,492394,4331529040.0,331.21111,130.26047,108.14139,119.20093,234.58333,2410351.25,25540506805.66667
201903,2019,3,31,울산시,54,287955,2500623950.0,249.78747,98.23775,80.51058,89.37417,234.58333,2410351.25,25540506805.66667
201903,2019,3,36,세종시,29,70101,578358950.0,217.23744,85.43629,66.52218,75.97924,234.58333,2410351.25,25540506805.66667
201903,2019,3,41,경기도,130,3543925,30607999430.0,270.18669,106.26046,86.61097,96.43572,234.58333,2410351.25,25540506805.66667
201903,2019,3,43,충청북도,75,374699,3133828970.0,234.36631,92.17283,72.75226,82.46255,234.58333,2410351.25,25540506805.66667
201903,2019,3,44,충청남도,100,470335,3907110990.0,221.25311,87.0156,68.21759,77.6166,234.58333,2410351.25,25540506805.66667
201903,2019,3,45,전라북도,101,417138,3411099610.0,227.88212,89.62269,69.16454,79.39362,234.58333,2410351.25,25540506805.66667
201903,2019,3,46,전라남도,51,287252,2229555480.0,153.26384,60.27642,44.15232,52.21437,234.58333,2410351.25,25540506805.66667
201903,2019,3,47,경상북도,108,425189,3459991940.0,159.18505,62.60514,48.07883,55.34199,234.58333,2410351.25,25540506805.66667
201903,2019,3,48,경상남도,131,672877,5638105660.0,199.66979,78.5272,62.09669,70.31194,234.58333,2410351.25,25540506805.66667
201903,2019,3,50,제주도,40,151901,1282043360.0,227.35586,89.41572,71.22079,80.31826,234.58333,2410351.25,25540506805.66667
201903,2019,3,51,강원도,76,351739,2849043050.0,228.32959,89.79868,68.64347,79.22108,234.58333,2410351.25,25540506805.66667
201904,2019,4,0,전국,437,13338962,113184664392.0,257.32629,101.20265,81.04165,91.12215,234.58333,2410351.25,25540506805.66667
201904,2019,4,11,서울시,285,3568534,31378171902.0,365.3707,143.69493,119.24223,131.46858,234.58333,2410351.25,25540506805.66667
201904,2019,4,26,부산시,129,954443,7977928280.0,278.12137,109.38105,86.28455,97.8328,234.58333,2410351.25,25540506805.66667
201904,2019,4,27,대구시,117,653506,5579122880.0,266.28565,104.72624,84.37673,94.55148,234.58333,2410351.25,25540506805.66667
201904,2019,4,28,인천시,100,712929,6060020230.0,241.12321,94.83022,76.07209,85.45116,234.58333,2410351.25,25540506805.66667
201904,2019,4,29,광주시,80,447790,3741340840.0,306.92832,120.7104,95.18059,107.9455,234.58333,2410351.25,25540506805.66667
201904,2019,4,30,대전시,80,440399,3858523960.0,296.46337,116.59469,96.40609,106.50039,234.58333,2410351.25,25540506805.66667
201904,2019,4,31,울산시,50,258552,2278823100.0,224.38043,88.24553,73.40172,80.82363,234.58333,2410351.25,25540506805.66667
201904,2019,4,36,세종시,30,65862,532829450.0,203.01649,79.8434,60.95975,70.40158,234.58333,2410351.25,25540506805.66667
201904,2019,4,41,경기도,168,3226198,27513630030.0,245.72116,96.63853,77.77822,87.20837,234.58333,2410351.25,25540506805.66667
201904,2019,4,43,충청북도,70,364234,2963703120.0,227.71912,89.55859,68.7721,79.16534,234.58333,2410351.25,25540506805.66667
201904,2019,4,44,충청남도,106,425190,3483655510.0,200.00357,78.65847,60.82029,69.73938,234.58333,2410351.25,25540506805.66667
201904,2019,4,45,전라북도,86,388495,3146749480.0,212.37672,83.52465,63.84725,73.68595,234.58333,2410351.25,25540506805.66667
201904,2019,4,46,전라남도,44,280123,2127020680.0,149.54385,58.8134,42.14539,50.4794,234.58333,2410351.25,25540506805.66667
201904,2019,4,47,경상북도,91,404435,3206711180.0,151.45251,59.56405,44.57036,52.06721,234.58333,2410351.25,25540506805.66667
201904,2019,4,48,경상남도,154,673312,5486663530.0,199.85912,78.60166,60.44697,69.52431,234.58333,2410351.25,25540506805.66667
